"LabID","DateTime","NIR_Pol","NIR_Brix","NIR_Fibre","NIR_Ash"
15022,2023-02-15 03:33:29,72.2766666666667,19.51235,13.7102416666667,1.335815
15023,2023-02-15 03:41:51,74.287772,19.852708,14.041228,1.971744
15024,2023-02-15 03:58:42,73.4153157894737,19.7714,14.1558157894737,1.94721578947368
15025,2023-02-15 04:11:29,74.1560727272727,19.7886909090909,14.5533545454545,2.12966363636364
15026,2023-02-15 04:26:36,83.3204923076923,21.7298307692308,14.7603076923077,1.57235384615385
15027,2023-02-15 04:37:22,81.4033533333333,21.47388,15.01976,1.89108666666667
15028,2023-02-15 04:47:25,83.760752631579,21.9678526315789,14.5350368421053,1.46943684210526
15029,2023-02-15 05:00:20,72.0825034482759,19.3690586206897,15.062024137931,2.46063103448276
15030,2023-02-15 05:18:37,73.4563142857143,19.5651142857143,14.9174904761905,2.37315714285714
15031,2023-02-15 05:32:40,72.7434684210526,19.6453421052632,15.1673947368421,1.7557
15032,2023-02-15 05:45:35,71.1225,19.3391125,14.14316875,1.86651875
15033,2023-02-15 05:57:05,73.7933642857143,19.8438678571429,14.0934035714286,1.8271
15034,2023-02-15 06:17:56,75.5403666666667,20.0129333333333,13.6954666666667,1.7218
15035,2023-02-15 06:21:01,73.5201142857143,19.8471357142857,14.8723,1.79108571428571
15036,2023-02-15 06:30:59,79.0995857142857,20.9191214285714,14.87385,1.95535357142857
15037,2023-02-15 06:49:55,81.7466333333333,21.4286166666667,15.1554416666667,1.9323
15038,2023-02-15 06:58:26,74.2957571428571,20.0207714285714,14.3707857142857,1.68478571428571
15039,2023-02-15 07:04:24,77.17606,20.52354,14.86012,1.81804
15040,2023-02-15 07:09:05,74.7909666666667,19.9614583333333,15.7778083333333,2.57991666666667
15041,2023-02-15 07:17:46,78.3058,20.68795,16.1828,2.74931666666667
15042,2023-02-15 07:22:52,83.671,21.8669833333333,14.9049333333333,1.88401666666667
15043,2023-02-15 07:32:13,75.0034222222222,20.2498666666667,15.0179,1.86318888888889
15044,2023-02-15 07:39:00,83.40385,21.914775,15.041575,1.864478125
15045,2023-02-15 07:59:51,83.17725,21.796705,15.13123,1.89998
15046,2023-02-15 08:13:41,72.54149,19.79106,13.96249,1.57581
15047,2023-02-15 08:21:44,71.6599133333333,19.3782866666667,13.8475266666667,1.56484
15048,2023-02-15 08:32:25,74.2017733333333,19.9194466666667,14.3460933333333,1.90695333333333
15049,2023-02-15 08:43:08,70.417705,19.21877,15.7687,2.293135
15051,2023-02-15 09:04:12,74.0055636363636,20.0055590909091,15.4659454545455,2.12202727272727
15052,2023-02-15 09:19:40,74.52125,19.9328,15.10215,1.98565
15053,2023-02-15 09:22:52,69.77575,18.92283125,14.14456875,2.35775625
15054,2023-02-15 09:33:56,69.6264,19.2447,14.6186,2.0527
15055,2023-02-15 09:35:37,71.3253666666667,19.4462666666667,15.1149666666667,2.60443333333333
15056,2023-02-15 09:38:51,76.69682,20.38924,14.3201666666667,2.00404
15057,2023-02-15 09:51:03,76.2356904761905,20.3445380952381,14.9637714285714,2.06978095238095
15058,2023-02-15 10:05:36,75.5486333333333,20.1326333333333,15.0762666666667,2.1844
15059,2023-02-15 10:10:34,76.0920444444444,20.2226777777778,15.9454833333333,2.58782222222222
15060,2023-02-15 10:23:59,79.6946,20.8841,15.44844,2.56642
15061,2023-02-15 10:28:21,75.0217666666667,19.9803666666667,14.8366333333333,2.163
