"LabID","Pol"
48883,-0.496751113382493
48503,-0.485617288457326
5857,-0.487825801270351
27726,-0.497663721982916
10706,-0.479521063006498
18549,-0.498120026283128
10706,-0.479521063006498
5857,-0.487825801270351
40583,-0.476016645980872
59913,-0.476381689421041
10706,-0.479521063006498
27726,-0.497663721982916
51841,-0.487351244798131
5857,-0.487825801270351
26056,-0.479466306490472
5857,-0.487825801270351
27726,-0.497663721982916
10706,-0.479521063006498
59913,-0.476381689421041
18354,-0.5
40583,-0.476016645980872
59913,-0.476381689421041
25817,-0.484047601664598
27726,-0.497663721982916
26056,-0.479466306490472
40583,-0.476016645980872
58325,-0.49176827042418
40583,-0.476016645980872
27726,-0.497663721982916
59033,-0.478772723954151
59033,-0.478772723954151
5857,-0.487825801270351
47138,-0.479940862962693
51841,-0.487351244798131
48503,-0.485617288457326
19992,-0.490709644447689
18549,-0.498120026283128
25817,-0.484047601664598
27726,-0.497663721982916
18611,-0.479685332554574
48503,-0.485617288457326
48883,-0.496751113382493
9892,-0.492516609476528
9892,-0.492516609476528
47138,-0.479940862962693
25817,-0.484047601664598
59033,-0.478772723954151
48503,-0.485617288457326
5857,-0.487825801270351
25817,-0.484047601664598
14715,-0.452015039789735
46443,-0.461159377965978
45826,-0.452945900562167
62764,-0.463459151639045
34121,-0.452325326713879
21633,-0.456778856683945
46443,-0.461159377965978
55602,-0.462528290866613
46074,-0.453968022194641
45826,-0.452945900562167
34121,-0.452325326713879
34121,-0.452325326713879
46074,-0.453968022194641
40960,-0.468515003285391
34121,-0.452325326713879
64737,-0.450080309556837
18182,-0.458421552164708
21633,-0.456778856683945
56153,-0.467383368620866
34211,-0.45088340512521
56153,-0.467383368620866
56153,-0.467383368620866
46443,-0.461159377965978
44311,-0.451540483317515
18182,-0.458421552164708
21633,-0.456778856683945
55602,-0.462528290866613
7797,-0.463586916843104
51370,-0.450299335620939
56153,-0.467383368620866
34121,-0.452325326713879
14715,-0.452015039789735
24506,-0.450992918157261
51370,-0.450299335620939
51370,-0.450299335620939
62764,-0.463459151639045
7797,-0.463586916843104
64737,-0.450080309556837
45826,-0.452945900562167
21633,-0.456778856683945
14715,-0.452015039789735
46443,-0.461159377965978
64737,-0.450080309556837
16856,-0.454515587354895
5450,-0.453949770022633
62764,-0.463459151639045
46443,-0.461159377965978
33951,-0.451175439877345
51057,-0.454862378623056
34121,-0.452325326713879
2817,-0.441173249616704
65029,-0.425239103453311
6795,-0.433105789588961
49905,-0.4282324596627
21429,-0.436482441410528
46092,-0.429820398627437
62209,-0.428579250930861
51824,-0.438052128203256
41035,-0.431590859312258
29289,-0.429984668175513
34736,-0.448036066291889
41035,-0.431590859312258
49329,-0.443819814557932
43855,-0.437924362999197
2817,-0.441173249616704
24340,-0.440826458348544
28099,-0.446612396875228
20162,-0.43670146747463
55689,-0.445480762210703
49110,-0.446721909907279
35305,-0.447086953347448
58595,-0.446995692487406
34830,-0.431043294152004
49905,-0.4282324596627
6795,-0.433105789588961
20162,-0.43670146747463
64706,-0.428542746586844
28099,-0.446612396875228
41035,-0.431590859312258
49329,-0.443819814557932
60081,-0.447196466379499
14953,-0.447598014163686
38123,-0.430897276775936
51856,-0.447013944659415
63964,-0.425567642549463
58595,-0.446995692487406
55974,-0.43049572899175
21429,-0.436482441410528
64706,-0.428542746586844
14736,-0.428433233554793
41035,-0.431590859312258
34830,-0.431043294152004
24340,-0.440826458348544
6999,-0.428068190114624
60081,-0.447196466379499
26154,-0.442980214645543
9229,-0.435095276337884
61244,-0.44646637949916
34332,-0.428378477038768
37185,-0.436245163174418
34487,-0.407351974885011
31164,-0.408246331313426
12742,-0.418650069358254
36966,-0.400835949477988
54275,-0.420110243118931
29622,-0.401675549390377
29570,-0.416496313061254
25578,-0.424965320873184
7219,-0.402405636270716
10517,-0.417810469445864
11186,-0.406749653208732
61166,-0.410838139738629
53411,-0.404522888223699
39351,-0.424582025261006
43577,-0.400616923413886
59325,-0.408939913849748
62338,-0.414652843688399
59587,-0.417408921661678
4864,-0.405015696867927
59587,-0.417408921661678
22130,-0.417682704241805
13284,-0.40808206176535
7674,-0.402661166678835
54275,-0.420110243118931
35974,-0.42286632109221
30531,-0.413466452507848
19085,-0.403738044827334
16610,-0.42239176461999
34887,-0.419124625830474
25724,-0.402916697086953
61038,-0.408666131269621
11301,-0.416222530481127
36466,-0.404595896911733
52514,-0.415328174052712
53750,-0.406421114112579
32921,-0.424344747024896
53750,-0.406421114112579
8939,-0.420018982258889
17242,-0.408282835657443
16724,-0.407899540045265
61166,-0.410838139738629
65166,-0.420164999634957
37879,-0.407023435788859
29570,-0.416496313061254
39351,-0.424582025261006
8101,-0.401000219026064
60686,-0.403281740527123
52005,-0.403665036139301
59653,-0.413703730743959
62924,-0.409596992042053
34402,-0.398499671460904
34402,-0.398499671460904
24053,-0.394246915382931
49008,-0.392293932978024
25363,-0.380740308096664
231,-0.37661531722275
2499,-0.382839307877638
11092,-0.375647952106301
53932,-0.396710958604074
49638,-0.384646272906476
31741,-0.384062203402205
10014,-0.377874717091334
63410,-0.382309994889392
27713,-0.377673943199241
61014,-0.385704898882967
12222,-0.39508651529532
37391,-0.389501350660729
4370,-0.37982769949624
12222,-0.39508651529532
37830,-0.378732569175732
54845,-0.380722055924655
34402,-0.398499671460904
62109,-0.380083229904359
5860,-0.390468715777178
40851,-0.393681098050668
29842,-0.391344820033584
5948,-0.380320508140469
39745,-0.380192742936409
22137,-0.393553332846609
25350,-0.396710958604074
47894,-0.392494706870118
10014,-0.377874717091334
29689,-0.382985325253705
20891,-0.380649047236621
61014,-0.385704898882967
11157,-0.393443819814558
25440,-0.399448784405344
49357,-0.376542308534716
49638,-0.384646272906476
49579,-0.399795575673505
18023,-0.384500255530408
35521,-0.378568299627656
24557,-0.39902898444915
21047,-0.384701029422501
20028,-0.389373585456669
49579,-0.399795575673505
47894,-0.392494706870118
49357,-0.376542308534716
1904,-0.399448784405344
61014,-0.385704898882967
25167,-0.368310578958896
38802,-0.351628093743156
28836,-0.369077170183252
37564,-0.361739797035847
21893,-0.366010805285829
50033,-0.362597649120245
27743,-0.355461049864934
35494,-0.364623640213185
17136,-0.361630284003797
2081,-0.361739797035847
39328,-0.36754398773454
27285,-0.354037380448273
58977,-0.367963787690735
37811,-0.36409432722494
38119,-0.372873621961013
43908,-0.367945535518727
53746,-0.370281813535811
22490,-0.371924509016573
63191,-0.361630284003797
39845,-0.366394100898007
16790,-0.35025918084252
12186,-0.353708841352121
31787,-0.367708257282617
44104,-0.364203840256991
40396,-0.369022413667226
59143,-0.356921223625612
17179,-0.363565014236694
1017,-0.358344893042272
20298,-0.372344308972768
19388,-0.366010805285829
16315,-0.373366430605242
33441,-0.368693874571074
58218,-0.370227057019785
3777,-0.351646345915164
42536,-0.351883624151274
41281,-0.370537343943929
8602,-0.362396875228152
53563,-0.355643571585019
61107,-0.355169015112799
35477,-0.3508615025188
37070,-0.359074979922611
26065,-0.362999196904432
3399,-0.369113674527269
19372,-0.35872818865445
54411,-0.366065561801854
2081,-0.361739797035847
30890,-0.36695991823027
28486,-0.36015185807111
56286,-0.357596553989925
12186,-0.353708841352121
40582,-0.340202234065854
11399,-0.342775790319048
20589,-0.330875374169526
45600,-0.339983208001752
27447,-0.330054026429145
36993,-0.334379791195152
22031,-0.336478790976126
10914,-0.325509235599036
6162,-0.349620354822224
62843,-0.334653573775279
6459,-0.345842155216471
1416,-0.3441812075637
57469,-0.349529093962182
28053,-0.331222165437687
7766,-0.341260860042345
57498,-0.336332773600058
57814,-0.337646929984668
20404,-0.338924582025261
13176,-0.34465576403592
32734,-0.341151347010294
18600,-0.343925677155582
35966,-0.340822807914142
38453,-0.346754763816894
54528,-0.334215521647076
16122,-0.335785208439804
58162,-0.338869825509236
4010,-0.332791852230416
6162,-0.349620354822224
14117,-0.326312331167409
25873,-0.334836095495364
37509,-0.340877564430167
3726,-0.328758122216544
29714,-0.334489304227203
48123,-0.340439512301964
58999,-0.325783018179163
21477,-0.341881433890633
14320,-0.338139738628897
58999,-0.325783018179163
51270,-0.343414616339344
38249,-0.336697817040228
57469,-0.349529093962182
42871,-0.338596042929109
38250,-0.341881433890633
45600,-0.339983208001752
60369,-0.334416295539169
57955,-0.335657443235745
62285,-0.339672921077608
35988,-0.340567277506023
29212,-0.331988756662043
44838,-0.343305103307294
23803,-0.300138716507264
64362,-0.311144776228371
18930,-0.300868803387603
34723,-0.318810688471928
47984,-0.3127144630211
3008,-0.316054610498649
19130,-0.302420238008323
24728,-0.30353362050084
12521,-0.321201723005038
52664,-0.316857706067022
11740,-0.305942907205958
60866,-0.317295758195225
12828,-0.320124844856538
39903,-0.305778637657881
35115,-0.320508140468716
40294,-0.3228444184858
34336,-0.317642549463386
28743,-0.303880411769001
62363,-0.306654741914288
41702,-0.318901949331971
57445,-0.305778637657881
14521,-0.320946192596919
41702,-0.318901949331971
6930,-0.306399211506169
9761,-0.316656932174929
59105,-0.315142001898226
61067,-0.307129298386508
5279,-0.31342629772943
38275,-0.303059064028619
63662,-0.304701759509382
60080,-0.311655837044608
13175,-0.319522523180259
61709,-0.31450317587793
7503,-0.305504855077754
40314,-0.301781411988027
56664,-0.315397532306344
63100,-0.303150324888662
27306,-0.323464992334088
17172,-0.301927429364094
60485,-0.320143097028546
3981,-0.300722786011535
36128,-0.311327297948456
36128,-0.311327297948456
27030,-0.306161933270059
53642,-0.300211725195298
48912,-0.314959480178141
45789,-0.316127619186683
61389,-0.32081842739286
7503,-0.305504855077754
9140,-0.305742133313864
57847,-0.293440169380156
7222,-0.28517193546032
31268,-0.291633204351318
25544,-0.293111630284004
40768,-0.279513762137694
48698,-0.282397605315033
2041,-0.298185734102358
7105,-0.277597284076805
28238,-0.299791925239104
30121,-0.279112214353508
32968,-0.29280134335986
51030,-0.295739943053223
1074,-0.278071840549025
18997,-0.286340074468862
4949,-0.275169745199679
33258,-0.289734978462437
35038,-0.282525370519092
57585,-0.281923048842812
23068,-0.288731109001971
62673,-0.297273125501935
63391,-0.294042491056436
32413,-0.291213404395123
35006,-0.293732204132292
32537,-0.286376578812879
47372,-0.297638168942104
18733,-0.277268744980653
47209,-0.275680806015916
39274,-0.276100605972111
41505,-0.286102796232752
7373,-0.285682996276557
64400,-0.294936847484851
8582,-0.295466160473096
18055,-0.282616631379134
4155,-0.285190187632328
1930,-0.289205665474191
31439,-0.297419142878003
40610,-0.290702343578886
59652,-0.290702343578886
61734,-0.288639848141929
17734,-0.286175804920786
20862,-0.292016499963496
4076,-0.282707892239177
23512,-0.290556326202818
8753,-0.275096736511645
13450,-0.299627655691027
965,-0.296269256041469
64717,-0.288183543841717
28739,-0.279659779513762
46220,-0.280152588157991
23725,-0.281393735854567
3173,-0.252445791049135
52748,-0.25178871285683
54182,-0.258615025187998
61364,-0.262539242169818
44645,-0.260695772796963
59889,-0.258085712199752
63386,-0.269347302328977
7417,-0.267193546031978
38599,-0.258304738263853
57035,-0.26144411184931
26346,-0.255420895086515
51311,-0.255822442870702
48731,-0.250164269548076
844,-0.272158136818281
53633,-0.257611155727532
4909,-0.258505512155947
37301,-0.2668102504198
22104,-0.273143754106739
17636,-0.264510476746733
52382,-0.269365554500986
23793,-0.273527049718917
38413,-0.255731182010659
42564,-0.255986712418778
21148,-0.268471198072571
24303,-0.253486164853618
38711,-0.258377746951887
21313,-0.257227860115354
63386,-0.269347302328977
40787,-0.264692998466818
21755,-0.256789807987151
21275,-0.253175877929474
48348,-0.256497773235015
38332,-0.26180915528948
64906,-0.25273782580127
