"LabID","Pol","Brix","Ash","Fibre"
42250,94.888,24.278,NA,NA
42251,77.934,20.493,NA,NA
42252,71.829,19.581,NA,NA
42253,84.08,22.305,NA,NA
42254,85.362,22.425,NA,NA
42255,68.522,18.308,NA,NA
42256,66.434,18.562,NA,NA
42257,77.789,20.247,NA,NA
42258,71.586,19.177,NA,NA
42259,83.562,21.893,NA,NA
42260,62.565,17.099,NA,NA
42261,70.742,18.83,NA,NA
42262,82.976,21.698,NA,15.5267743927012
42263,76.775,20.427,NA,NA
42264,87.687,22.307,NA,NA
42265,85.645,22.169,NA,NA
42266,79.161,20.653,NA,NA
42267,86.88,22.187,NA,NA
42268,72.722,19.451,NA,NA
42269,92.031,23.564,NA,NA
42270,78.89,20.565,NA,NA
42271,79.966,21.074,NA,NA
42272,65.338,17.766,NA,NA
42273,90.023,23.659,NA,NA
42274,73.929,20.478,NA,NA
42275,89.503,23.122,NA,NA
42276,87.391,22.557,NA,NA
42277,64.938,17.976,NA,NA
42278,69.781,18.301,NA,NA
42279,75.467,19.489,NA,NA
42280,95.722,24.657,NA,NA
42281,85.948,22.361,NA,NA
42282,93.693,24.133,NA,NA
42283,75.633,19.498,NA,NA
42284,85.287,21.822,NA,NA
42285,85.543,22.032,NA,NA
42286,94.676,23.906,NA,NA
42287,74.845,19.569,NA,NA
42288,68.239,19.643,NA,NA
42289,67.262,18.493,NA,NA
42290,68.836,18.674,NA,NA
42291,91.342,23.916,NA,NA
42292,75.765,20.326,NA,NA
42293,69.164,18.77,NA,NA
42294,64.128,17.969,NA,NA
42295,80.295,20.821,NA,NA
42296,76.089,20.252,NA,NA
42297,78.953,20.926,NA,NA
42298,80.498,20.596,NA,NA
42299,74.094,20.22,NA,NA
42300,71.048,19.428,NA,NA
42301,63.132,17.603,NA,NA
42302,83.193,22.381,NA,NA
42303,94.177,24.033,NA,NA
42304,77.366,20.494,NA,NA
42305,81.914,21.514,NA,NA
42306,89.367,22.772,NA,NA
42307,82.876,20.834,NA,NA
42308,90.676,23.136,NA,NA
42309,93.166,23.791,NA,NA
42310,79.141,20.962,NA,NA
42312,79.473,20.686,NA,NA
42313,64.704,17.741,NA,NA
42314,70.271,19.388,NA,NA
42315,81.123,21.462,NA,NA
42316,66.715,17.67,NA,NA
42317,87.18,23.489,NA,NA
42318,73.021,19.847,NA,NA
42319,94.401,24.285,NA,NA
42320,79.265,20.983,NA,NA
42321,85.964,22.073,NA,NA
42322,72.074,19.517,NA,NA
42323,74.672,19.401,NA,NA
42324,75.538,21.103,NA,NA
42326,81.388,20.919,NA,NA
42327,84.974,22.743,NA,NA
42328,67.797,18.553,NA,NA
42329,73.463,20.088,NA,NA
42330,80.898,20.633,NA,NA
42331,72.87,19.038,NA,NA
42332,71.298,18.867,NA,NA
42333,72.316,19.75,NA,NA
42334,59.837,16.603,NA,NA
42335,65.042,17.417,NA,NA
42336,80.778,21.097,NA,NA
42337,77.635,20.71,NA,NA
42338,81.985,21.056,NA,NA
42339,74.483,20.114,NA,NA
42340,81.735,21.372,NA,NA
42341,75.124,20.319,NA,NA
42342,90.152,23.048,NA,NA
42343,74.981,19.791,NA,NA
42344,60.504,16.954,NA,NA
42345,80.691,21.19,NA,NA
42346,69.252,19.091,NA,NA
42347,79.238,21.176,NA,NA
42348,80.276,20.771,NA,NA
42349,83.759,21.86,NA,NA
42350,78.362,20.749,NA,NA
42351,88.686,23.602,NA,NA
42352,94.649,24.214,NA,NA
42353,68.418,18.455,NA,NA
42354,85.325,23.021,NA,NA
42355,74.54,20.973,NA,NA
42356,88.399,23.286,NA,NA
42357,90.08,24.158,NA,NA
42358,77.801,21.089,NA,NA
42359,70.891,19.381,NA,NA
42360,69.235,18.841,NA,NA
42361,75.139,20.092,NA,NA
42362,69.879,19.18,NA,NA
42363,85.851,22.429,NA,NA
42364,72.363,20.004,NA,NA
42365,82.169,22.504,NA,NA
42366,84.067,21.912,NA,NA
42367,84.318,21.777,NA,NA
42368,72.882,19.116,NA,NA
42369,86.255,22.789,NA,NA
42370,70.369,19,NA,NA
42371,65.651,18.955,NA,NA
42372,65.389,18.402,NA,NA
42373,60.135,16.661,NA,NA
42374,90.954,23.625,NA,NA
42375,82.168,22.078,NA,NA
42376,78.835,20.824,NA,NA
42377,73.181,19.518,NA,NA
42378,78.353,20.62,NA,NA
42379,87.52,22.741,NA,NA
42380,92.782,24.045,NA,NA
42381,78.337,21.606,NA,NA
42382,72.804,19.971,NA,NA
42383,85.041,22.522,NA,NA
42384,83.629,21.24,NA,NA
42385,62.873,17.623,NA,NA
42386,76.884,20.342,NA,NA
42387,79.137,20.914,NA,NA
42388,79.485,21.37,NA,NA
42389,83.483,21.895,NA,NA
42391,87.01,23.069,NA,NA
42392,77.535,20.71,NA,NA
42393,73.752,19.126,NA,12.8206482401153
42394,81.656,21.95,NA,NA
42395,90.019,24.095,NA,NA
